Ico;Rok;Obdobie od;Obdobie do;Nazov;Odvetvie;SK Nace;Kategória zamestnancov(zo Štatistického úradu);Presný počet zamestnancov(z účtovnej závierky);Mesto;Okres;Kraj;Právna forma – kód;Právna forma;AktivaBrutto-1;AktivaCorr-1;Aktiva-1;AktivaPrev-1;AktivaBrutto-2;AktivaCorr-2;Aktiva-2;AktivaPrev-2;AktivaBrutto-3;AktivaCorr-3;Aktiva-3;AktivaPrev-3;AktivaBrutto-4;AktivaCorr-4;Aktiva-4;AktivaPrev-4;AktivaBrutto-5;AktivaCorr-5;Aktiva-5;AktivaPrev-5;AktivaBrutto-6;AktivaCorr-6;Aktiva-6;AktivaPrev-6;AktivaBrutto-7;AktivaCorr-7;Aktiva-7;AktivaPrev-7;AktivaBrutto-8;AktivaCorr-8;Aktiva-8;AktivaPrev-8;AktivaBrutto-9;AktivaCorr-9;Aktiva-9;AktivaPrev-9;AktivaBrutto-10;AktivaCorr-10;Aktiva-10;AktivaPrev-10;AktivaBrutto-11;AktivaCorr-11;Aktiva-11;AktivaPrev-11;AktivaBrutto-12;AktivaCorr-12;Aktiva-12;AktivaPrev-12;AktivaBrutto-13;AktivaCorr-13;Aktiva-13;AktivaPrev-13;AktivaBrutto-14;AktivaCorr-14;Aktiva-14;AktivaPrev-14;AktivaBrutto-15;AktivaCorr-15;Aktiva-15;AktivaPrev-15;AktivaBrutto-16;AktivaCorr-16;Aktiva-16;AktivaPrev-16;AktivaBrutto-17;AktivaCorr-17;Aktiva-17;AktivaPrev-17;AktivaBrutto-18;AktivaCorr-18;Aktiva-18;AktivaPrev-18;AktivaBrutto-19;AktivaCorr-19;Aktiva-19;AktivaPrev-19;AktivaBrutto-20;AktivaCorr-20;Aktiva-20;AktivaPrev-20;AktivaBrutto-21;AktivaCorr-21;Aktiva-21;AktivaPrev-21;AktivaBrutto-22;AktivaCorr-22;Aktiva-22;AktivaPrev-22;AktivaBrutto-23;AktivaCorr-23;Aktiva-23;AktivaPrev-23;AktivaBrutto-24;AktivaCorr-24;Aktiva-24;AktivaPrev-24;AktivaBrutto-25;AktivaCorr-25;Aktiva-25;AktivaPrev-25;AktivaBrutto-26;AktivaCorr-26;Aktiva-26;AktivaPrev-26;AktivaBrutto-27;AktivaCorr-27;Aktiva-27;AktivaPrev-27;AktivaBrutto-28;AktivaCorr-28;Aktiva-28;AktivaPrev-28;AktivaBrutto-29;AktivaCorr-29;Aktiva-29;AktivaPrev-29;AktivaBrutto-30;AktivaCorr-30;Aktiva-30;AktivaPrev-30;AktivaBrutto-31;AktivaCorr-31;Aktiva-31;AktivaPrev-31;AktivaBrutto-32;AktivaCorr-32;Aktiva-32;AktivaPrev-32;AktivaBrutto-33;AktivaCorr-33;Aktiva-33;AktivaPrev-33;AktivaBrutto-34;AktivaCorr-34;Aktiva-34;AktivaPrev-34;AktivaBrutto-35;AktivaCorr-35;Aktiva-35;AktivaPrev-35;AktivaBrutto-36;AktivaCorr-36;Aktiva-36;AktivaPrev-36;AktivaBrutto-37;AktivaCorr-37;Aktiva-37;AktivaPrev-37;AktivaBrutto-38;AktivaCorr-38;Aktiva-38;AktivaPrev-38;AktivaBrutto-39;AktivaCorr-39;Aktiva-39;AktivaPrev-39;AktivaBrutto-40;AktivaCorr-40;Aktiva-40;AktivaPrev-40;AktivaBrutto-41;AktivaCorr-41;Aktiva-41;AktivaPrev-41;AktivaBrutto-42;AktivaCorr-42;Aktiva-42;AktivaPrev-42;AktivaBrutto-43;AktivaCorr-43;Aktiva-43;AktivaPrev-43;AktivaBrutto-44;AktivaCorr-44;Aktiva-44;AktivaPrev-44;AktivaBrutto-45;AktivaCorr-45;Aktiva-45;AktivaPrev-45;AktivaBrutto-46;AktivaCorr-46;Aktiva-46;AktivaPrev-46;AktivaBrutto-47;AktivaCorr-47;Aktiva-47;AktivaPrev-47;AktivaBrutto-48;AktivaCorr-48;Aktiva-48;AktivaPrev-48;AktivaBrutto-49;AktivaCorr-49;Aktiva-49;AktivaPrev-49;AktivaBrutto-50;AktivaCorr-50;Aktiva-50;AktivaPrev-50;AktivaBrutto-51;AktivaCorr-51;Aktiva-51;AktivaPrev-51;AktivaBrutto-52;AktivaCorr-52;Aktiva-52;AktivaPrev-52;AktivaBrutto-53;AktivaCorr-53;Aktiva-53;AktivaPrev-53;AktivaBrutto-54;AktivaCorr-54;Aktiva-54;AktivaPrev-54;AktivaBrutto-55;AktivaCorr-55;Aktiva-55;AktivaPrev-55;AktivaBrutto-56;AktivaCorr-56;Aktiva-56;AktivaPrev-56;AktivaBrutto-57;AktivaCorr-57;Aktiva-57;AktivaPrev-57;AktivaBrutto-58;AktivaCorr-58;Aktiva-58;AktivaPrev-58;AktivaBrutto-59;AktivaCorr-59;Aktiva-59;AktivaPrev-59;AktivaBrutto-60;AktivaCorr-60;Aktiva-60;AktivaPrev-60;AktivaBrutto-61;AktivaCorr-61;Aktiva-61;AktivaPrev-61;AktivaBrutto-62;AktivaCorr-62;Aktiva-62;AktivaPrev-62;AktivaBrutto-63;AktivaCorr-63;Aktiva-63;AktivaPrev-63;AktivaBrutto-64;AktivaCorr-64;Aktiva-64;AktivaPrev-64;AktivaBrutto-65;AktivaCorr-65;Aktiva-65;AktivaPrev-65;Predchádzajúce obdobie od;Predchádzajúce obdobie do;
00681300;2008;2008-01-01;2008-12-31;"Odvoz a likvidácia odpadu a.s. v skratke: OLO a.s.";"Spracovanie odpadov";"Zber iného ako nebezpečného odpadu [38110]";500-999 zamestnancov;;"Bratislava";"Bratislava II";Bratislavský;121;"Akc. spol.";;;83927770;77167530;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;764920;5787194;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
00684872;2008;2008-11-01;2009-10-31;"IDOPS, družstvo";"Stavebníctvo";"Ostatné špecializované stavebné práce i. n. [43990]";5-9 zamestnancov;;"Bratislava";"Bratislava I";Bratislavský;205;"Družstvo";;;7014424;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17055482;2008;2008-05-01;2010-10-11;"MARK, spol. s r. o. v likvidácii";"Veľkoobchod";"Nešpecializovaný veľkoobchod [46900]";nezistený;;"Bratislava";"Bratislava I";Bratislavský;112;"Spol. s r. o.";;;16538;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17320976;2008;2008-11-04;2010-05-31;"FOX 31 s. r. o. v likvidácii";"Nehnuteľnosti";"Prenájom a prevádzkovanie vlastných alebo prenajatých nehnuteľností [68200]";nezistený;;"Bratislava";"Bratislava I";Bratislavský;112;"Spol. s r. o.";;;280124;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17328560;2008;2008-01-01;2008-12-31;"Anja, spol. s r.o.";"Veľkoobchod";"Veľkoobchod s obilím, nespracovaným tabakom, semenami a krmivom [46210]";50-99 zamestnancov;;"Bratislava";"Bratislava III";Bratislavský;112;"Spol. s r. o.";15096826.6613556;1985958.97231627;13110867.6890394;11328918.5421231;3729270.39766315;1820022.57186483;1909247.82579831;2061906.65870013;23501.2945628361;18323.0432184824;5178.25134435371;;;;;;16596.9594370311;16596.9594370311;;;6904.33512580495;1726.08378145124;5178.25134435371;;;;;;;;;;;;;;;;;;3705769.10310031;1801699.52864635;1904069.57445396;2061906.65870013;142800.238996216;;142800.238996216;117207.727544314;1840304.05629689;487552.280422227;1352751.77587466;1384551.55015601;1722664.80780721;1314147.24822413;408517.559583084;531003.120228374;;;;;;;;;;;;;;;;29144.2607714267;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11346312.1556131;165936.400451437;11180375.7551617;9246630.81723428;3468864.10409613;;3468864.10409613;3137223.66062537;;;;;;;;;;;;;;;;;3468864.10409613;;3468864.10409613;3137223.66062537;;;;;22073.9560512514;;22073.9560512514;;;;;;;;;;;;;;;;;;;;;;;;;;22073.9560512514;;22073.9560512514;;7564197.03910244;165936.400451437;7398260.638651;6070105.55666202;6627398.26063865;165936.400451437;6461461.86018721;5653920.20181903;;;;;;;;;;;;;;;;;;;;;930624.70955321;;930624.70955321;410144.061607913;6174.06891057558;;6174.06891057558;6041.29323507933;291177.056363274;;291177.056363274;39301.5999468897;;;;;291177.056363274;;291177.056363274;39301.5999468897;;;;;;;;;;;;;21244.1080793999;;21244.1080793999;20381.0661886742;21244.1080793999;;21244.1080793999;20381.0661886742;;;;;;;;;;;;;;;
17331234;2008;2008-10-01;2009-09-30;"Atos Convergence Creators, s. r. o.";"Informačné technológie";"Ostatné služby týkajúce sa informačných technológií a počítačov [62090]";nezistený;;"Bratislava";"Bratislava I";Bratislavský;112;"Spol. s r. o.";;;13099589;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31321828;2008;2008-03-01;2009-02-28;"TESCO STORES SR, a.s.";"Maloobchod";"Ostatný maloobchod v nešpecializovaných predajniach [47190]";5000-9999 zamestnancov;6269;"Bratislava - mestská časť Ružinov";"Bratislava II";Bratislavský;121;"Akc. spol.";;;866913000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;58373000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;38295000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31340822;2008;2008-01-01;2008-12-31;"TIPOS, národná lotériová spoločnosť, a. s.";"Hazard";"Činnosti herní a stávkových kancelárií [92000]";150-199 zamestnancov;;"Bratislava - mestská časť Ružinov";"Bratislava II";Bratislavský;121;"Akc. spol.";;;51133475;40395506;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1583878;0;;;;;;;23808458;29318296;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31341977;2008;2008-01-01;2008-12-31;"TRANSPETROL, a.s.";"Doprava a logistika";"Potrubná doprava ropy [49502]";200-249 zamestnancov;;"Bratislava";"Bratislava II";Bratislavský;121;"Akc. spol.";;;323726644;307686583;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;746565;0;;;;;;;87369538;76411638;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31344500;2008;2008-01-01;2008-12-31;"HENNLICH s. r. o.";"Veľkoobchod";"Nešpecializovaný veľkoobchod [46900]";25-49 zamestnancov;;"Košťany nad Turcom";"Martin";Žilinský;112;"Spol. s r. o.";1943404.36831972;152725.220739561;1790679.14758016;1561475.13775476;488481.7101507;140642.634269402;347839.075881299;333167.363738963;45575.2506140875;8962.35809599681;36612.8925180907;3385.77972515435;;;;;41525.5925114519;6937.52904467902;34588.0634667729;;4049.6581026356;2024.8290513178;2024.8290513178;3385.77972515435;;;;;;;;;;;;;;;;;392451.702848038;131680.276173405;260771.426674633;279326.827325234;118502.290380402;;118502.290380402;118502.290380402;15999.468897298;;15999.468897298;;157372.369381929;131680.276173405;25692.0932085242;64628.5600477992;;;;;;;;;;;;;100577.574188409;;100577.574188409;96195.9768970325;;;;;;;;;50454.7566885747;;50454.7566885747;50454.7566885747;;;;;;;;;50454.7566885747;;50454.7566885747;50454.7566885747;;;;;;;;;;;;;;;;;;;;;1453893.64668393;12082.5864701587;1441811.06021377;1227145.98685521;526621.522936998;;526621.522936998;484299.276372569;3684.52499502091;;3684.52499502091;4647.14864236872;;;;;;;;;;;;;522936.997941977;;522936.997941977;479652.1277302;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;886841.930558322;12082.5864701587;874759.344088163;695611.763924849;712009.559848636;12082.5864701587;699926.973378477;498240.722299675;;;;;;;;;;;;;171380.203146784;;171380.203146784;;;;;;;;;;3452.16756290248;;3452.16756290248;197371.041625174;40430.1931886078;;40430.1931886078;47234.9465577906;2456.34999668061;;2456.34999668061;1161.78716059218;37973.8431919272;;37973.8431919272;46073.1593971984;;;;;;;;;;;;;1029.01148509593;;1029.01148509593;1161.78716059218;1029.01148509593;;1029.01148509593;1161.78716059218;;;;;;;;;;;;;;;
31354301;2008;2008-01-01;2008-12-31;"Závodisko, š.p.";"Cestovný ruch a gastro";"Prevádzka športových zariadení [93110]";10-19 zamestnancov;;"Bratislava";"Bratislava I";Bratislavský;301;"Štátny podnik";;;3564998;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1369;;;;;;;;167258;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31362044;2008;2008-01-01;2008-12-31;"LMM, spol. s r.o.";"Nehnuteľnosti";"Prenájom a prevádzkovanie vlastných alebo prenajatých nehnuteľností [68200]";nezistený;;"Bratislava - mestská časť Ružinov";"Bratislava II";Bratislavský;112;"Spol. s r. o.";65096;65096;65096;54332;36115;17288;18827;15554;166;62;104;127;;;;;166;62;104;127;;;;;;;;;;;;;;;;;;;;;35949;17226;18723;15427;1213;;1213;1213;8045;3458;4587;2410;26677;13768;12909;9472;;;;;;;;;;;;;14;;14;2332;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47170;946;46224;38737;10711;;10711;18159;;;;;;;;;;;;;1;;1;1;10710;;10710;18158;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;31929;946;30983;11680;10242;946;9296;5539;;;;;;;;;;;;;;;;;;;;;;;;309;21687;;21687;5832;4530;;4530;8898;37;;37;167;4493;;4493;8731;;;;;;;;;;;;;45;;45;41;45;;45;41;;;;;;;;;;;;;;;
31364501;2008;2008-01-01;2008-12-31;"Železnice Slovenskej republiky";"Doprava a logistika";"Vedľajšie činnosti v pozemnej doprave [52210]";10000-19999 zamestnancov;12821;"Bratislava";"Bratislava I";Bratislavský;301;"Štátny podnik";;;2605137000;2519750000;;;2487146000;2410898000;;;3064000;4555000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2482196000;2404426000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1886000;1917000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;117991000;106100000;;;25335000;23340000;;;;;;;;;;;;;;;;;;;;;;;;;;;2904000;1582000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;43453000;68429000;;;29098000;;;;;;;;;;;;;;;;;;;;;;;;;;;;14355000;;;;46299000;12749000;;;;;;;;;;;;;;;;;;;;;;;;2752000;;;;;;;;;;;;;;;;;;;
31381294;2008;2008-12-01;2009-11-30;"TEXART Bratislava, s.r.o.";"Veľkoobchod";"Nešpecializovaný veľkoobchod [46900]";3-4 zamestnanci;;"Bratislava - mestská časť Staré Mesto";"Bratislava I";Bratislavský;112;"Spol. s r. o.";;;1289722;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31389716;2008;2008-09-01;2009-08-31;"EUROTEK, spol. s r.o. v likvidácii";"Veľkoobchod";"Nešpecializovaný veľkoobchod [46900]";nezistený;;"Bratislava";"Bratislava I";Bratislavský;112;"Spol. s r. o.";;;203211;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31403417;2008;2008-10-01;2009-09-30;"KPMG Slovensko Advisory, k.s.";"Právo, poradenstvo a účtovníctvo";"Účtovnícke a audítorské činnosti, vedenie účtovných kníh; daňové poradenstvo [69200]";100-149 zamestnancov;;"Bratislava";"Bratislava I";Bratislavský;113;"Kom. spol.";;;1736854;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31404693;2008;2008-01-01;2008-12-31;"Halbart-Slovakia a.s.";"Nehnuteľnosti";"Prenájom a prevádzkovanie vlastných alebo prenajatých nehnuteľností [68200]";1 zamestnanec;;"Bratislava";"Bratislava I";Bratislavský;121;"Akc. spol.";289882.4935271858;324636.526588329;289882.4935271858;294728.8056827988;187280.090287459;;187280.090287459;187280.090287459;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;187280.090287459;;187280.090287459;187280.090287459;166899.024098785;;166899.024098785;166899.024098785;;;;;;;;;;;;;;;;;;;;;20381.0661886742;;20381.0661886742;20381.0661886742;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;102602.403239726;;102602.403239726;107448.71539534;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2456.34999668061;;2456.34999668061;2456.34999668061;;;;;;;;;;;;;;;;;;;;;;;;;2456.34999668061;;2456.34999668061;2456.34999668061;;;;;100146.053243046;;100146.053243046;104992.365398659;;;;;100146.053243046;;100146.053243046;104992.365398659;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31434258;2008;2008-01-01;2008-12-31;"TRANSKAM - SLOVAKIA, spol. s r.o.";"Doprava a logistika";"Skladovanie a uskladňovanie [52100]";50-99 zamestnancov;;"Kočovce";"Nové Mesto n.Váhom";Trenčiansky;112;"Spol. s r. o.";1300869.6806745;1300869.6806745;1300869.6806745;1156011.41870809;784106.751643099;-172575.18422625;611531.567416849;545376.087100843;11053.5749850627;-7634.60134103432;3418.97364402841;298.74526986656;2788.28918542123;-2788.28918542123;0;0;6572.39593706433;-3153.42229303592;3418.97364402841;0;1692.88986257718;-1692.88986257718;0;298.74526986656;;;;;;;;;;;;;;;;;773053.176658036;-164940.582885215;608112.593772821;545077.341830977;477992.431786497;0;477992.431786497;477992.431786497;829.847971851557;-796.654052977494;33.1939188740623;66.3878377481245;133406.359954856;-64728.1418044214;68678.2181504348;51185.022903804;0;0;0;0;0;0;0;0;146053.243045874;99448.9809466906;46604.2620991834;5045.47566885746;14771.2938989577;0;14771.2938989577;10788.0236340702;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;677288.720706366;-165.969594370311;677122.751111996;590055.101905331;4348.40337250216;0;4348.40337250216;6074.4871539534;4348.40337250216;0;4348.40337250216;6074.4871539534;;;;;;;;;;;;;;;;;;;;;497.908783110934;0;497.908783110934;2124.41080793999;497.908783110934;0;497.908783110934;2124.41080793999;;;;;;;;;;;;;;;;;;;;;;;;;519783.575648941;-165.969594370311;519617.606054571;562968.864104096;501294.562836088;-165.969594370311;501128.593241718;557359.09181438;;;;;;;;;;;;;;;;;;;;;;;;;18489.0128128527;0;18489.0128128527;5609.77228971652;152658.832901812;0;152658.832901812;18887.3398393414;564.296620859059;0;564.296620859059;3452.16756290248;152094.536280953;0;152094.536280953;15435.172276439;;;;;;;;;;;;;12215.3621456549;0;12215.3621456549;20580.2297019186;12215.3621456549;0;12215.3621456549;19484.8303790746;;;;;0;0;0;1095.39932284406;;;;;;;
31444504;2008;2008-10-01;2009-09-30;"ARGUS, spol. s r.o.";"Média, vydavateľstvá a kultúra";"Iná tlač [18120]";50-99 zamestnancov;;"Ostrov";"Piešťany";Trnavský;112;"Spol. s r. o.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31447708;2008;2008-01-01;2008-12-31;"Národný žrebčín 'Topoľčianky' štátny podnik";"Poľnohospodárstvo a lesníctvo";"Chov koní [01430]";50-99 zamestnancov;;"Topoľčianky";"Zlaté Moravce";Nitriansky;301;"Štátny podnik";;;3496416;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;256822;;;;;;;;35324;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31562329;2008;2008-01-01;2008-12-31;"BELEX spol. s r.o.";"Veľkoobchod";"Nešpecializovaný veľkoobchod [46900]";5-9 zamestnancov;;"Banská Bystrica";"Banská Bystrica";Banskobystrický;112;"Spol. s r. o.";1292903.14014473;;1292903.14014473;1293799.37595432;56529.243842528;;56529.243842528;61209.5864037708;2058.02297019186;;2058.02297019186;;;;;;2058.02297019186;;2058.02297019186;;;;;;;;;;;;;;;;;;;;;;54471.2208723362;;54471.2208723362;61209.5864037708;;;;;;;;;46737.0377746797;;46737.0377746797;60944.0350527783;;;;;265.551350992498;;265.551350992498;265.551350992498;;;;;7468.63174666401;;7468.63174666401;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1236373.8963022;;1236373.8963022;1232589.78955055;612792.936334064;;612792.936334064;498439.885812919;;;;;;;;;;;;;;;;;603199.89377946;;603199.89377946;487021.177720242;9593.042554604;;9593.042554604;11418.7080926774;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;602038.106618867;;602038.106618867;623514.572130386;592378.676226515;;592378.676226515;612726.548496316;;;;;;;;;;;;;;;;;;;;;5742.54796521277;;5742.54796521277;6904.33512580495;3916.88242713935;;3916.88242713935;3883.68850826529;21542.8533492664;;21542.8533492664;110635.33160725;6340.03850494589;;6340.03850494589;3418.97364402841;15202.8148443205;;15202.8148443205;107216.357963221;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31577920;2008;2008-01-01;2008-12-31;"Vojenské lesy a majetky SR, štátny podnik";"Poľnohospodárstvo a lesníctvo";"Lesné hospodárstvo [02100]";150-199 zamestnancov;;"Pliešovce";"Zvolen";Banskobystrický;301;"Štátny podnik";;;87103870;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;179198;;;;;;;;130951;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
